iter	Passed	Remaining
212	5271	7103
213	5299	7083
214	5327	7062
215	5358	7045
216	5389	7028
217	5420	7012
218	5452	6996
219	5484	6980
220	5511	6957
221	5535	6931
222	5559	6905
223	5581	6876
224	5606	6852
225	5631	6826
226	5659	6806
227	5687	6785
228	5712	6760
229	5738	6736
230	5763	6711
231	5788	6686
232	5814	6662
233	5841	6640
234	5865	6614
235	5891	6590
236	5917	6566
237	5942	6542
238	5968	6517
239	5992	6492
240	6019	6468
241	6043	6443
242	6069	6419
243	6095	6395
244	6121	6370
245	6144	6343
246	6167	6317
247	6189	6289
248	6215	6265
249	6239	6239
250	6263	6213
251	6289	6189
252	6314	6164
253	6342	6142
254	6370	6120
255	6398	6098
256	6423	6073
257	6449	6049
258	6473	6023
259	6498	5998
260	6520	5971
261	6544	5945
262	6568	5919
263	6593	5894
264	6615	5866
265	6640	5842
266	6662	5814
267	6686	5788
268	6711	5763
269	6736	5738
270	6759	5711
271	6783	5686
272	6807	5660
273	6828	5632
274	6851	5605
275	6878	5582
276	6899	5554
277	6925	5530
278	6948	5503
279	6973	5478
280	6998	5453
281	7021	5427
282	7044	5401
283	7067	5375
284	7091	5349
285	7115	5324
286	7139	5298
287	7163	5273
288	7187	5247
289	7209	5220
290	7234	5195
291	7257	5169
292	7281	5144
293	7304	5118
294	7327	5092
295	7350	5065
296	7373	5039
297	7396	5013
298	7421	4988
299	7443	4962
300	7466	4936
301	7492	4912
302	7517	4887
303	7542	4862
304	7566	4837
305	7590	4812
306	7617	4788
307	7641	4763
308	7665	4738
309	7689	4712
310	7714	4688
311	7738	4663
312	7764	4639
313	7790	4614
314	7815	4590
315	7838	4564
316	7861	4538
317	7887	4513
318	7910	4488
319	7934	4462
320	7956	4437
321	7980	4411
322	8003	4385
323	8027	4360
324	8050	4335
325	8073	4309
326	8096	4283
327	8120	4258
328	8144	4233
329	8169	4208
330	8192	4183
331	8216	4157
332	8238	4131
333	8264	4107
334	8288	4082
335	8310	4056
336	8334	4031
337	8359	4006
338	8382	3981
339	8405	3955
340	8429	3930
341	8452	3905
342	8477	3880
343	8499	3854
344	8524	3829
345	8549	3805
346	8572	3779
347	8597	3755
348	8622	3730
349	8645	3705
350	8670	3680
351	8694	3655
352	8720	3631
353	8745	3606
354	8769	3581
355	8792	3556
356	8817	3531
357	8839	3506
358	8864	3481
359	8886	3456
360	8911	3431
361	8933	3405
362	8957	3380
363	8980	3355
364	9003	3330
365	9028	3305
366	9051	3280
367	9074	3255
368	9097	3229
369	9120	3204
370	9144	3179
371	9166	3154
372	9190	3129
373	9215	3104
374	9239	3079
375	9261	3054
376	9284	3029
377	9307	3004
378	9332	2979
379	9356	2954
380	9379	2929
381	9403	2904
382	9428	2880
383	9452	2855
384	9475	2830
385	9498	2805
386	9523	2780
387	9547	2755
388	9570	2730
389	9594	2706
390	9619	2681
391	9643	2656
392	9666	2631
393	9688	2606
394	9713	2582
395	9738	2557
396	9761	2532
397	9786	2508
398	9809	2483
399	9832	2458
400	9855	2433
401	9882	2409
402	9907	2384
403	9931	2360
404	9956	2335
405	9981	2310
406	10004	2286
407	10026	2260
408	10052	2236
409	10075	2211
410	10100	2187
411	10122	2162
412	10147	2137
413	10170	2112
414	10193	2087
415	10216	2063
416	10242	2038
417	10266	2013
418	10290	1989
419	10313	1964
420	10338	1939
421	10363	1915
422	10386	1890
423	10410	1866
424	10434	1841
425	10458	1816
426	10480	1791
427	10504	1767
428	10527	1742
429	10550	1717
430	10575	1693
431	10599	1668
432	10624	1643
433	10649	1619
434	10674	1594
435	10697	1570
436	10721	1545
437	10744	1520
438	10767	1496
439	10792	1471
440	10815	1447
441	10839	1422
442	10863	1397
443	10888	1373
444	10913	1348
445	10937	1324
446	10961	1299
447	10986	1275
448	11010	1250
449	11034	1226
450	11072	1202
451	11100	1178
452	11127	1154
453	11152	1129
454	11176	1105
455	11200	1080
456	11223	1056
457	11249	1031
458	11272	1006
459	11294	982
460	11317	957
461	11343	932
462	11367	908
463	11391	883
464	11413	859
465	11438	834
466	11460	809
467	11483	785
468	11506	760
469	11531	736
470	11554	711
471	11578	686
472	11601	662
473	11625	637
474	11650	613
475	11673	588
476	11699	564
477	11723	539
478	11749	515
479	11774	490
480	11799	466
481	11825	441
482	11848	417
483	11872	392
484	11896	367
485	11920	343
486	11944	318
487	11967	294
488	11991	269
489	12014	245
490	12040	220
491	12066	196
492	12089	171
493	12113	147
494	12137	122
495	12163	98
496	12185	73
497	12209	49
498	12232	24
499	12256	0
